Den_ID	Year	Status	Species	Litter_ID	Comments
FOX143	2006	NR			
FOX144	2006	NR			
FOX145	2006	NR			
FOX201	2006	N	Arctic fox	2006_AF01	
FOX202	2006	NR			
FOX203	2006	N	Arctic fox	2006_AF02	
FOX204	2006	R	Arctic fox	2006_AF02	
FOX205	2006	NR			
FOX206	2006	NR			
FOX207	2006	NR			
FOX305	2006	NR			
FOX307	2006	NR			
FOX309	2006	NR			
FOX317	2006	NR			
FOX319	2006	NR			
FOX322	2006	NR			
FOX323	2006	NR			
FOX324	2006	NR			
FOX325	2006	NR			
FOX334	2006	NR			
FOX335	2006	NR			
FOX001	2007	NR			
FOX002	2007	NR			
FOX003	2007	NR			
FOX004	2007	NR			
FOX005	2007	NR			
FOX006	2007	NR			
FOX007	2007	NR			
FOX008	2007	NR			
FOX009	2007	NR			
FOX010	2007	NR			
FOX014	2007	NR			
FOX015	2007	NR			
FOX016	2007	NR			
FOX018	2007	NR			
FOX019	2007	NR			
FOX020	2007	NR			
FOX021	2007	NR			
FOX022	2007	NR			
FOX023	2007	NR			
FOX024	2007	NR			
FOX025	2007	NR			
FOX026	2007	NR			
FOX027	2007	NR			
FOX028	2007	NR			
FOX029	2007	NR			
FOX031	2007	NR			
FOX032	2007	NR			
FOX034	2007	NR			
FOX036	2007	NR			
FOX037	2007	NR			
FOX038	2007	NR			
FOX040	2007	NR			
FOX101	2007	R	Arctic fox	2007_AF01	
FOX102	2007	R	Arctic fox	2007_AF01	
FOX104	2007	NR			
FOX105	2007	N	Arctic fox	2007_AF01	
FOX106	2007	N	Arctic fox	2007_AF02	
FOX107	2007	NR			
FOX108	2007	NR			
FOX109	2007	R	Arctic fox	2007_AF01	
FOX110	2007	NR			
FOX111	2007	N	Arctic fox	2007_AF03	Tagged female not the mother of the cubs (from genetic data), other untagged female present at the den
FOX112	2007	NR			
FOX113	2007	NR			
FOX114	2007	N	Arctic fox	2007_AF04	
FOX115	2007	N	Arctic fox	2007_AF05	
FOX116	2007	NR			
FOX117	2007	NR			
FOX120	2007	NR			
FOX121	2007	NR			
FOX122	2007	NR			
FOX123	2007	N	Arctic fox	2007_AF06	
FOX124	2007	NR			
FOX125	2007	NR			
FOX126	2007	R	Arctic fox	2007_AF04	
FOX127	2007	NR			
FOX128	2007	NR			
FOX131	2007	N	Arctic fox	2007_AF07	
FOX132	2007	NR			
FOX133	2007	NR			
FOX134	2007	NR			
FOX135	2007	NR			
FOX137	2007	N	Arctic fox	2007_AF08	
FOX139	2007	NR			
